"id_cliente","sector","antiguedad","ratio_liquidez","endeudamiento","default","trimestre"
"CLI-00038","manufactura",4,0.542,0.74,0,3
"CLI-00039","construccion",3.8,1.379,0.492,0,2
"CLI-00040","manufactura",4,1.444,0.334,0,1
"CLI-00041","manufactura",9.7,1.368,0.326,0,2
"CLI-00042","construccion",8.7,1.518,0.273,0,4
"CLI-00043","manufactura",9.5,2.003,0.879,0,1
"CLI-00044","manufactura",1.2,2.151,0.222,0,1
"CLI-00045","comercio",20.3,1.157,0.768,1,5
"CLI-00046","comercio",10.6,2.368,0.473,1,8
"CLI-00047","agro",6.1,2.381,0.418,0,5
"CLI-00048","comercio",7.5,1.443,0.209,0,1
"CLI-00049","manufactura",1.8,0.927,0.47,0,5
"CLI-00050","comercio",0.8,1.437,0.65,0,1
"CLI-00051","agro",2.8,1.349,0.781,0,3
"CLI-00052","servicios",1.4,1.699,0.218,0,5
"CLI-00053","agro",2.7,1.229,0.435,1,5
"CLI-00054","construccion",1.4,1.217,0.684,1,2
"CLI-00055","manufactura",4.5,0.984,0.35,0,5
"CLI-00056","servicios",6.7,1.194,0.55,0,2
"CLI-00057","servicios",1.6,1.29,0.237,0,1
"CLI-00058","comercio",1.4,1.451,0.376,0,2
"CLI-00059","agro",5,2.482,0.689,0,1
"CLI-00060","comercio",3.4,2.001,0.316,0,7
"CLI-00061","comercio",4.6,0.918,0.415,0,5
"CLI-00062","construccion",1.6,1.399,0.557,0,4
"CLI-00063","servicios",6.4,2.019,0.15,0,7
"CLI-00064","manufactura",4.9,1.99,0.663,0,7
"CLI-00065","manufactura",7.8,1.263,0.31,0,8
"CLI-00066","comercio",4.3,1.028,0.518,0,6
"CLI-00067","servicios",3.5,1.399,0.709,0,2
"CLI-00068","manufactura",5.6,1.088,0.204,0,8
"CLI-00069","servicios",18.3,2.173,0.294,0,7
"CLI-00070","servicios",6.7,1.048,0.58,1,4
"CLI-00071","construccion",4.1,1.289,0.126,0,2
"CLI-00072","manufactura",4,1.57,0.157,0,3
"CLI-00073","servicios",1.4,1.092,0.295,0,8
"CLI-00074","construccion",3.1,2.095,0.383,0,8
"CLI-00075","comercio",5.7,0.957,0.386,0,1
"CLI-00076","servicios",11.7,1.027,0.845,0,7
"CLI-00077","servicios",7,1.651,0.501,0,7
"CLI-00078","manufactura",8.4,1.412,0.765,0,3
"CLI-00079","comercio",9.6,0.816,0.502,0,1
"CLI-00080","construccion",0.7,0.913,0.846,0,5
"CLI-00081","comercio",16.2,1.002,0.88,0,8
"CLI-00082","agro",3.8,1.258,0.458,1,2
"CLI-00083","construccion",1.2,1.534,0.648,0,4
"CLI-00084","agro",4.8,1.73,0.275,0,7
"CLI-00085","comercio",5.9,1.658,0.187,1,6
"CLI-00086","agro",12,1.964,0.783,0,7
"CLI-00087","servicios",9.2,1.628,0.899,1,7
"CLI-00088","agro",3.1,1.216,0.319,1,6
"CLI-00089","comercio",3.5,1.272,0.857,0,3
"CLI-00090","comercio",6.3,0.713,0.894,0,5
"CLI-00091","agro",3.2,1.918,0.852,0,2
"CLI-00092","servicios",14.4,1.762,0.858,0,3
"CLI-00093","construccion",2.8,2.2,0.626,0,4
"CLI-00094","comercio",5.5,0.603,0.276,0,4
"CLI-00095","manufactura",7.7,2.106,0.251,0,6
"CLI-00096","manufactura",5.4,1.403,0.456,0,5
"CLI-00097","construccion",4.3,2.048,0.562,0,5
"CLI-00098","manufactura",1.8,1.673,0.11,0,7
"CLI-00099","servicios",12.6,0.771,0.881,1,7
"CLI-00100","manufactura",4.5,1.165,0.832,0,1
"CLI-00101","comercio",4.6,0.858,0.643,0,3
"CLI-00102","construccion",7.7,1.418,0.273,0,1
"CLI-00103","manufactura",8.9,0.783,0.814,0,4
"CLI-00104","comercio",9.7,1.117,0.243,1,4
"CLI-00105","comercio",13,1.381,0.759,0,3
"CLI-00106","comercio",5.2,1.136,0.828,0,3
"CLI-00107","servicios",4.1,1.702,0.777,0,7
"CLI-00108","servicios",3.6,2.719,0.152,0,3
"CLI-00109","comercio",13.7,1.963,0.411,0,1
"CLI-00110","servicios",12.3,0.804,0.495,0,8
"CLI-00111","manufactura",8.5,2.431,0.424,0,1
"CLI-00112","construccion",3.7,0.782,0.377,0,2
"CLI-00113","comercio",7.1,0.9,0.319,0,6
"CLI-00114","manufactura",6.6,1.895,0.236,0,6
"CLI-00115","comercio",5.2,2.135,0.581,0,5
"CLI-00116","comercio",6.4,1.693,0.679,0,3
"CLI-00117","servicios",4.4,1.666,0.282,0,6
"CLI-00118","comercio",6,2.046,0.662,0,7
"CLI-00119","comercio",7.1,1.8,0.74,0,3
"CLI-00120","construccion",2.5,1.902,0.198,0,2
"CLI-00121","manufactura",4.3,2.136,0.355,0,2
"CLI-00122","comercio",0.7,1.706,0.123,0,6
"CLI-00123","servicios",7.1,1.947,0.814,0,5
"CLI-00124","construccion",5,1.878,0.363,0,7
"CLI-00125","manufactura",3.7,0.606,0.641,0,6
"CLI-00126","comercio",13.5,1.899,0.823,0,5
"CLI-00127","manufactura",3.6,1.694,0.686,0,6
"CLI-00128","manufactura",3.9,1.197,0.579,0,4
"CLI-00129","comercio",1.9,1.768,0.719,0,1
"CLI-00130","manufactura",4.7,1.368,0.686,0,5
"CLI-00131","manufactura",5.8,1.46,0.565,1,4
"CLI-00132","servicios",2.6,1.575,0.717,0,5
"CLI-00133","comercio",3.4,1.732,0.815,0,6
"CLI-00134","comercio",6.8,0.583,0.795,0,1
"CLI-00135","construccion",7,2.255,0.333,0,4
"CLI-00136","comercio",11.2,1.985,0.482,0,5
"CLI-00137","comercio",8.8,1.895,0.835,0,4
"CLI-00138","manufactura",3.1,1.643,0.514,0,7
"CLI-00139","servicios",6.2,1.916,0.605,0,2
"CLI-00140","manufactura",12.4,1.557,0.679,0,1
"CLI-00141","servicios",7.5,1.651,0.141,0,4
"CLI-00142","comercio",5.8,1.861,0.84,0,7
"CLI-00143","manufactura",2.3,0.72,0.594,1,7
"CLI-00144","servicios",21,2.14,0.44,0,4
"CLI-00145","agro",12,0.763,0.757,0,6
"CLI-00146","comercio",5.6,0.251,0.858,0,8
"CLI-00147","comercio",6.3,1.985,0.122,0,3
"CLI-00148","servicios",5.9,1.229,0.357,0,5
"CLI-00149","servicios",3.2,1.944,0.213,0,6
"CLI-00150","comercio",12.1,0.999,0.593,0,8
"CLI-00151","comercio",2,1.175,0.682,0,6
"CLI-00152","comercio",7.4,1.091,0.571,0,7
"CLI-00153","agro",4.4,1.65,0.47,0,7
"CLI-00154","manufactura",2.9,1.876,0.153,0,2
"CLI-00155","construccion",7.2,3.211,0.872,0,6
"CLI-00156","servicios",11.5,1.816,0.478,0,7
"CLI-00157","manufactura",13.2,2.269,0.558,0,1
"CLI-00158","servicios",3.3,2.693,0.577,0,7
"CLI-00159","construccion",8.6,2.06,0.115,0,6
"CLI-00160","comercio",2,1.739,0.669,0,1
"CLI-00161","comercio",7.5,1.734,0.269,0,1
"CLI-00162","manufactura",4.1,1.371,0.761,0,1
"CLI-00163","agro",12.4,2.331,0.827,0,8
"CLI-00164","comercio",9.5,2.145,0.308,0,2
"CLI-00165","comercio",9.4,0.513,0.503,0,8
"CLI-00166","manufactura",1.8,1.051,0.83,0,8
"CLI-00167","comercio",8.3,1.428,0.695,0,4
"CLI-00168","manufactura",14.9,0.563,0.316,0,5
"CLI-00169","manufactura",3.5,1.254,0.717,0,3
"CLI-00170","comercio",0.2,1.996,0.491,0,7
"CLI-00171","construccion",5.8,1.423,0.624,0,7
"CLI-00172","servicios",5.1,2.288,0.786,0,2
"CLI-00173","manufactura",1.6,1.593,0.353,0,1
"CLI-00174","construccion",4.2,2.138,0.203,0,2
"CLI-00175","comercio",6.4,0.489,0.148,1,6
"CLI-00176","servicios",4.6,1.537,0.77,0,7
"CLI-00177","construccion",7.8,1.667,0.47,0,1
"CLI-00178","agro",6,1.775,0.872,1,7
"CLI-00179","agro",5.1,1.469,0.825,0,4
"CLI-00180","manufactura",2.8,1.799,0.321,0,8
"CLI-00181","comercio",9.5,1.137,0.442,0,4
"CLI-00182","comercio",1.8,2.002,0.752,0,3
"CLI-00183","agro",8.1,1.254,0.653,0,4
"CLI-00184","servicios",6.2,2.408,0.329,1,5
"CLI-00185","manufactura",2.2,1.552,0.841,0,8
"CLI-00186","comercio",12,1.406,0.266,0,6
"CLI-00187","construccion",2.4,1.571,0.152,0,7
"CLI-00188","comercio",12.5,1.65,0.653,0,1
"CLI-00189","comercio",7.4,0.817,0.283,0,2
"CLI-00190","manufactura",12.2,1.784,0.628,0,1
"CLI-00191","manufactura",9.5,2.769,0.493,0,1
"CLI-00192","comercio",4.8,1.233,0.862,0,1
"CLI-00193","comercio",10.4,1.9,0.653,0,7
"CLI-00194","agro",5.7,1.825,0.717,0,3
"CLI-00195","manufactura",7.2,0.759,0.641,0,3
"CLI-00196","manufactura",8.2,1.268,0.716,0,1
"CLI-00197","comercio",10.3,1.745,0.424,0,1
"CLI-00198","servicios",4.9,1.7,0.135,0,2
"CLI-00199","servicios",2.3,2.018,0.238,0,3
"CLI-00200","comercio",11.4,1.744,0.143,0,1
"CLI-00201","construccion",5.3,1.626,0.522,0,8
"CLI-00202","servicios",8.9,1.905,0.733,0,5
"CLI-00203","manufactura",10.8,1.564,0.752,0,4
"CLI-00204","agro",9.1,1.22,0.418,0,3
"CLI-00205","manufactura",10.7,0.61,0.441,0,6
"CLI-00206","servicios",5.4,1.231,0.324,0,5
"CLI-00207","comercio",4.2,2.361,0.611,0,3
"CLI-00208","agro",5.6,2.077,0.506,0,8
"CLI-00209","construccion",5.6,0.757,0.65,0,4
"CLI-00210","servicios",6,1.923,0.855,0,2
"CLI-00211","servicios",15.4,1.243,0.301,0,5
"CLI-00212","comercio",3.6,1.628,0.345,0,8
"CLI-00213","comercio",16,1.185,0.545,0,7
"CLI-00214","comercio",2.3,0.811,0.825,0,3
"CLI-00215","agro",5.6,1.797,0.511,0,4
"CLI-00216","servicios",3.5,1.288,0.38,0,3
"CLI-00217","comercio",2.8,1.798,0.122,0,6
"CLI-00218","comercio",5.2,1.585,0.757,1,2
"CLI-00219","comercio",15.5,2.019,0.66,0,6
"CLI-00220","manufactura",14.1,0.791,0.742,0,2
"CLI-00221","comercio",6,2.614,0.308,0,8
"CLI-00222","servicios",7.8,1.536,0.345,0,8
"CLI-00223","comercio",7,0.733,0.171,0,3
"CLI-00224","servicios",4.7,1.397,0.802,0,4
"CLI-00225","manufactura",4.6,1.575,0.627,0,1
"CLI-00226","construccion",7.2,1.59,0.586,0,2
"CLI-00227","servicios",0.4,0.831,0.363,0,6
"CLI-00228","comercio",9.3,1.378,0.753,1,8
"CLI-00229","comercio",13.8,1.098,0.476,0,5
"CLI-00230","comercio",4.8,0.879,0.783,1,8
"CLI-00231","manufactura",2.9,1.628,0.663,0,2
"CLI-00232","comercio",4.2,1.271,0.481,0,2
"CLI-00233","manufactura",2,2.482,0.898,0,4
"CLI-00234","manufactura",2.5,0.826,0.294,1,5
"CLI-00235","construccion",25.5,1.095,0.465,1,8
"CLI-00236","servicios",14.8,1.154,0.761,1,3
"CLI-00237","agro",4.3,1.156,0.23,0,3
"CLI-00238","comercio",8.7,1.508,0.26,0,8
"CLI-00239","comercio",5,1.651,0.691,0,8
"CLI-00240","construccion",15.5,0.867,0.59,0,6
"CLI-00241","agro",7.8,1.452,0.853,0,8
"CLI-00242","manufactura",1.1,1.517,0.624,0,5
"CLI-00243","agro",2,1.479,0.741,0,7
"CLI-00244","construccion",1.4,0.99,0.224,1,8
"CLI-00245","servicios",10.8,1.875,0.262,0,5
"CLI-00246","manufactura",15,1.121,0.207,0,2
"CLI-00247","construccion",1.1,1.98,0.226,0,7
"CLI-00248","manufactura",6.8,0.532,0.264,0,1
"CLI-00249","comercio",7.8,0.799,0.476,1,2
"CLI-00250","comercio",9.4,1.575,0.558,0,7
"CLI-00251","servicios",7,1.803,0.126,0,5
"CLI-00252","manufactura",13.1,1.737,0.513,0,8
"CLI-00253","comercio",1.2,1.843,0.889,0,1
"CLI-00254","servicios",1.9,1.677,0.47,0,6
"CLI-00255","manufactura",3.1,1.052,0.261,0,2
"CLI-00256","comercio",7.4,1.401,0.451,0,4
"CLI-00257","servicios",2.3,2.387,0.57,0,2
"CLI-00258","agro",8.7,0.644,0.193,0,2
"CLI-00259","construccion",3.4,1.31,0.242,0,2
"CLI-00260","servicios",1.7,1.041,0.24,0,2
"CLI-00261","manufactura",5.8,1.863,0.147,0,8
"CLI-00262","servicios",12.9,1.653,0.146,0,4
"CLI-00263","agro",12.4,1.601,0.592,0,4
"CLI-00264","comercio",4.5,1.947,0.112,0,7
"CLI-00265","servicios",22.7,1.497,0.665,0,6
"CLI-00266","comercio",3.7,1.148,0.42,0,4
"CLI-00267","manufactura",2.4,1.183,0.156,0,5
"CLI-00268","servicios",2,1.338,0.102,0,7
"CLI-00269","servicios",7.9,1.24,0.741,1,1
"CLI-00270","servicios",6.1,1.959,0.337,0,5
"CLI-00271","manufactura",3.9,2.151,0.526,0,3
"CLI-00272","manufactura",10.1,1.543,0.397,0,2
"CLI-00273","comercio",5.7,1.381,0.654,0,2
"CLI-00274","comercio",3.8,2.23,0.64,0,3
"CLI-00275","servicios",4.8,1.955,0.28,0,7
"CLI-00276","servicios",10.6,0.869,0.13,0,5
"CLI-00277","construccion",2.7,2.95,0.762,0,7
"CLI-00278","servicios",12,1.36,0.264,0,6
"CLI-00279","servicios",2,1.68,0.634,0,8
"CLI-00280","comercio",2.5,2.672,0.567,0,8
"CLI-00281","servicios",4.4,1.215,0.148,0,7
"CLI-00282","construccion",2.2,2.113,0.781,1,6
"CLI-00283","servicios",6.3,1.744,0.79,0,2
"CLI-00284","servicios",5.9,2.011,0.179,0,1
"CLI-00285","construccion",6.1,1.445,0.139,0,4
"CLI-00286","manufactura",1.7,1.946,0.561,0,5
"CLI-00287","comercio",2.5,1.185,0.13,0,5
"CLI-00288","comercio",10,1.219,0.249,0,1
"CLI-00289","construccion",4.8,1.371,0.235,0,4
"CLI-00290","construccion",10,1.421,0.565,0,7
"CLI-00291","comercio",3.5,2.111,0.642,1,5
"CLI-00292","construccion",0.9,1.442,0.443,0,6
"CLI-00293","servicios",2.3,1.78,0.58,0,3
"CLI-00294","construccion",5.4,1.132,0.362,0,2
"CLI-00295","construccion",6.7,1.436,0.464,0,1
"CLI-00296","servicios",5.3,2.092,0.687,0,1
"CLI-00297","servicios",7.7,1.007,0.741,0,4
"CLI-00298","manufactura",15.5,0.832,0.197,0,8
"CLI-00299","comercio",7.4,1.851,0.179,0,6
"CLI-00300","manufactura",0.8,0.584,0.264,0,1
"CLI-00301","manufactura",1.2,1.146,0.333,0,4
"CLI-00302","manufactura",5.4,1.621,0.12,0,1
"CLI-00303","servicios",2.7,0.931,0.146,0,7
"CLI-00304","manufactura",5.1,0.39,0.192,0,1
"CLI-00305","construccion",14,1.001,0.742,0,8
"CLI-00306","comercio",3.6,1.142,0.278,0,8
"CLI-00307","servicios",20.1,1.761,0.45,0,8
"CLI-00308","comercio",4.5,1.466,0.419,0,5
"CLI-00309","servicios",3.9,1.526,0.295,1,7
"CLI-00310","construccion",3.1,0.709,0.838,0,7
"CLI-00311","construccion",7.4,1.789,0.362,0,8
"CLI-00312","servicios",0.8,2.145,0.157,0,1
"CLI-00313","comercio",4.3,1.191,0.705,0,4
"CLI-00314","construccion",4.6,1.355,0.221,0,2
"CLI-00315","comercio",13.2,1.977,0.301,0,6
"CLI-00316","construccion",3.6,1.456,0.598,0,2
"CLI-00317","manufactura",3.6,1.493,0.648,0,6
"CLI-00318","manufactura",8.7,2.423,0.251,0,6
"CLI-00319","servicios",7.6,1.119,0.307,0,8
"CLI-00320","servicios",5.7,2.325,0.507,0,3
"CLI-00321","agro",3.9,1.318,0.802,0,5
"CLI-00322","manufactura",1,2.174,0.861,1,1
"CLI-00323","comercio",9.3,1.603,0.229,0,3
"CLI-00324","agro",1.7,1.901,0.457,0,6
"CLI-00325","comercio",11.1,1.557,0.653,0,5
"CLI-00326","servicios",4,1.034,0.768,0,8
"CLI-00327","construccion",4.9,1.694,0.813,0,8
"CLI-00328","servicios",5.4,1.081,0.876,0,2
"CLI-00329","manufactura",7.9,1.045,0.183,0,4
"CLI-00330","servicios",8.4,1.084,0.677,0,6
"CLI-00331","manufactura",12.2,1.572,0.689,0,5
"CLI-00332","servicios",3.8,0.285,0.329,0,5
"CLI-00333","servicios",4.7,1.843,0.15,0,7
"CLI-00334","construccion",9.5,0.91,0.168,0,7
"CLI-00335","comercio",6.9,1.47,0.462,0,4
"CLI-00336","construccion",26.2,2.652,0.84,0,6
"CLI-00337","comercio",5.4,1.266,0.294,0,7
"CLI-00338","manufactura",1.2,1.433,0.179,0,3
"CLI-00339","manufactura",4.6,1.019,0.399,0,4
"CLI-00340","servicios",10,1.823,0.725,0,5
"CLI-00341","manufactura",7.3,1.822,0.662,0,3
"CLI-00342","manufactura",5.9,1.91,0.18,0,4
"CLI-00343","comercio",7.9,1.336,0.651,0,5
"CLI-00344","comercio",4.1,1.202,0.624,0,5
"CLI-00345","construccion",2.5,1.55,0.488,1,4
"CLI-00346","comercio",8.1,1.082,0.896,0,2
"CLI-00347","manufactura",3.9,1.135,0.138,0,6
"CLI-00348","manufactura",5.5,0.535,0.475,0,7
"CLI-00349","manufactura",1.6,0.613,0.592,0,7
"CLI-00350","comercio",5.7,1.114,0.146,0,2
"CLI-00351","servicios",2.2,1.194,0.568,0,8
"CLI-00352","agro",5.3,0.918,0.671,0,2
"CLI-00353","comercio",6.6,1.026,0.789,0,6
"CLI-00354","comercio",7.7,1.629,0.338,0,8
"CLI-00355","servicios",6.4,1.534,0.271,0,8
"CLI-00356","construccion",18,2.635,0.264,0,5
"CLI-00357","agro",1.6,1.68,0.317,0,5
"CLI-00358","comercio",6,1.459,0.829,1,2
"CLI-00359","manufactura",3.9,1.634,0.532,0,3
"CLI-00360","servicios",3,1.108,0.163,1,7
"CLI-00361","comercio",4.3,1.917,0.153,0,5
"CLI-00362","comercio",18,1.041,0.51,0,2
"CLI-00363","agro",4.7,0.225,0.67,0,8
"CLI-00364","comercio",1.7,1.282,0.676,0,3
"CLI-00365","servicios",7.4,2.031,0.491,1,2
"CLI-00366","comercio",12.6,0.874,0.624,0,8
"CLI-00367","construccion",6.4,1.815,0.242,0,4
"CLI-00368","agro",9.1,0.985,0.729,1,4
"CLI-00369","servicios",3.7,2.101,0.224,0,2
"CLI-00370","agro",1,1.88,0.549,0,4
"CLI-00371","servicios",1.9,1.333,0.561,0,5
"CLI-00372","servicios",12.9,2.629,0.587,0,1
"CLI-00373","agro",3.5,2.29,0.85,0,7
"CLI-00374","manufactura",4.8,1.661,0.314,0,5
"CLI-00375","servicios",5.6,1.44,0.182,0,5
"CLI-00376","comercio",1.9,0.699,0.781,1,6
"CLI-00377","servicios",5.5,1.75,0.519,0,5
"CLI-00378","comercio",1,2.007,0.24,0,4
"CLI-00379","comercio",2,1.429,0.3,0,1
"CLI-00380","comercio",1.7,1.848,0.408,0,3
"CLI-00381","servicios",0.5,2.026,0.714,0,8
"CLI-00382","agro",3.9,1.849,0.736,0,1
"CLI-00383","manufactura",8.8,2.575,0.889,0,3
"CLI-00384","manufactura",8.2,1.67,0.301,0,8
"CLI-00385","agro",4.2,0.97,0.686,0,4
"CLI-00386","servicios",7.3,2.241,0.158,0,1
"CLI-00387","servicios",4.8,1.24,0.701,1,6
"CLI-00388","comercio",2.8,1.339,0.229,0,7
"CLI-00389","comercio",7.2,1.272,0.689,0,5
"CLI-00390","manufactura",5.9,1.353,0.313,0,3
"CLI-00391","agro",3.6,2.405,0.346,0,8
"CLI-00392","construccion",6.1,1.297,0.529,0,6
"CLI-00393","manufactura",5.4,1.439,0.272,0,3
"CLI-00394","comercio",1.7,1.692,0.682,0,1
"CLI-00395","comercio",6.3,1.245,0.858,0,5
"CLI-00396","servicios",3.8,1.033,0.306,0,1
"CLI-00397","comercio",12.8,1.104,0.173,0,4
"CLI-00398","construccion",4.3,1.613,0.667,0,8
"CLI-00399","manufactura",4.7,2.36,0.278,0,5
"CLI-00400","comercio",11.1,0.933,0.117,0,2
"CLI-00401","manufactura",4.7,1.469,0.479,0,4
"CLI-00402","manufactura",4.5,1.964,0.751,0,3
"CLI-00403","servicios",7.6,0.83,0.879,1,3
"CLI-00404","comercio",6.5,1.451,0.783,0,3
"CLI-00405","manufactura",22.9,1.571,0.867,0,2
"CLI-00406","comercio",1.7,2.869,0.302,0,4
"CLI-00407","comercio",5.4,1.331,0.863,0,2
"CLI-00408","manufactura",10.7,1.838,0.741,0,5
"CLI-00409","manufactura",5.5,1.514,0.656,0,6
"CLI-00410","servicios",2.9,0.76,0.478,0,2
"CLI-00411","agro",2.8,1.789,0.249,0,7
"CLI-00412","manufactura",5.4,2.391,0.697,0,6
"CLI-00413","manufactura",5.1,2.109,0.426,1,5
"CLI-00414","servicios",6.4,0.458,0.773,1,2
"CLI-00415","comercio",9,1.712,0.259,0,6
"CLI-00416","comercio",2.8,0.502,0.818,0,6
"CLI-00417","manufactura",2,1.362,0.612,0,1
"CLI-00418","comercio",8.4,1.134,0.124,0,3
"CLI-00419","agro",5.6,1.671,0.722,0,7
"CLI-00420","manufactura",3.7,1.457,0.484,0,6
"CLI-00421","comercio",1.4,1.071,0.173,0,7
"CLI-00422","comercio",5.8,1.848,0.659,0,2
"CLI-00423","construccion",1.2,1.4,0.612,0,8
"CLI-00424","manufactura",8.9,1.512,0.3,0,8
"CLI-00425","comercio",1.7,1.135,0.346,0,6
"CLI-00426","comercio",6.3,1.406,0.294,0,1
"CLI-00427","manufactura",3.3,1.443,0.454,0,1
"CLI-00428","manufactura",2.1,1.487,0.459,0,7
"CLI-00429","manufactura",13,1.046,0.188,0,7
"CLI-00430","construccion",8.3,1.374,0.341,0,3
"CLI-00431","construccion",2.6,0.419,0.781,0,5
"CLI-00432","manufactura",4.5,1.33,0.239,0,7
"CLI-00433","servicios",8.5,0.893,0.402,0,4
"CLI-00434","manufactura",5.8,1.339,0.424,0,7
"CLI-00435","construccion",6.9,0.548,0.436,0,2
"CLI-00436","manufactura",1,1.662,0.179,0,5
"CLI-00437","construccion",7.2,2.061,0.146,0,2
"CLI-00438","manufactura",7.7,1.88,0.393,0,3
"CLI-00439","agro",5.5,1.434,0.29,0,2
"CLI-00440","comercio",6.7,1.378,0.643,0,1
"CLI-00441","manufactura",7.4,1.558,0.374,0,5
"CLI-00442","comercio",12,1.451,0.669,0,6
"CLI-00443","comercio",10.8,1.341,0.185,0,5
"CLI-00444","comercio",6.3,1.323,0.683,0,3
"CLI-00445","comercio",13.6,1.187,0.395,1,4
"CLI-00446","servicios",6.8,2.595,0.832,0,3
"CLI-00447","comercio",1,2.383,0.369,0,7
"CLI-00448","servicios",13.4,1.659,0.432,0,7
"CLI-00449","manufactura",2.7,1.672,0.137,0,2
"CLI-00450","comercio",10,1.181,0.277,0,8
"CLI-00451","construccion",2.8,0.744,0.131,0,5
"CLI-00452","manufactura",1.1,1.946,0.77,0,5
"CLI-00453","comercio",11.8,1.544,0.459,0,8
"CLI-00454","servicios",4.2,1.029,0.583,0,7
"CLI-00455","comercio",23.9,2.183,0.59,0,4
"CLI-00456","manufactura",3.1,1.699,0.544,0,7
"CLI-00457","servicios",5.3,1.214,0.2,0,8
"CLI-00458","servicios",2.2,1.73,0.837,0,4
"CLI-00459","construccion",11.5,1.019,0.374,0,7
"CLI-00460","construccion",1.5,2.11,0.448,0,1
"CLI-00461","manufactura",6,2.025,0.136,0,3
"CLI-00462","construccion",3.1,2.079,0.205,0,4
"CLI-00463","servicios",2.2,1.466,0.297,0,5
"CLI-00464","comercio",4.6,1.536,0.767,0,1
"CLI-00465","servicios",10.8,1.317,0.555,0,6
"CLI-00466","manufactura",1.7,1.364,0.575,0,6
"CLI-00467","servicios",5.1,3.258,0.525,0,7
"CLI-00468","comercio",12.5,0.937,0.417,0,7
"CLI-00469","comercio",9.1,2.073,0.529,0,2
"CLI-00470","manufactura",3.1,0.216,0.609,0,4
"CLI-00471","construccion",2.8,1.159,0.542,0,5
"CLI-00472","manufactura",9,1.61,0.817,0,2
"CLI-00473","comercio",8.1,1.048,0.679,0,5
"CLI-00474","manufactura",3.6,1.922,0.854,0,4
"CLI-00475","servicios",5.4,1.519,0.6,0,4
"CLI-00476","construccion",9,1.748,0.577,0,8
"CLI-00477","servicios",1.5,1.672,0.186,0,5
"CLI-00478","comercio",7.7,1.842,0.597,0,5
"CLI-00479","agro",4.1,1.272,0.117,0,4
"CLI-00480","construccion",10.3,0.331,0.34,0,6
"CLI-00481","servicios",1.4,1.489,0.731,0,5
"CLI-00482","manufactura",11.7,0.775,0.543,0,4
"CLI-00483","manufactura",19.1,1.851,0.661,0,5
"CLI-00484","manufactura",9.4,1.507,0.797,0,7
"CLI-00485","construccion",0.5,1.78,0.828,0,5
"CLI-00486","construccion",7.3,2.614,0.572,0,3
"CLI-00487","construccion",0.4,2.215,0.306,0,3
"CLI-00488","servicios",7.1,2.757,0.377,0,4
"CLI-00489","manufactura",5.2,1.379,0.627,1,3
"CLI-00490","servicios",3.5,1.839,0.808,0,3
"CLI-00491","manufactura",9.8,1.566,0.459,0,3
"CLI-00492","servicios",9.7,1.695,0.611,0,8
"CLI-00493","servicios",2.9,0.992,0.227,0,3
"CLI-00494","servicios",13,1.814,0.386,0,1
"CLI-00495","comercio",6.4,1.629,0.554,0,3
"CLI-00496","manufactura",5.1,1.123,0.791,0,4
"CLI-00497","construccion",11.7,1.196,0.896,0,6
"CLI-00498","construccion",9.6,1.315,0.841,1,2
