"id_poliza","sector","zona","antiguedad","exposure","n_siniestros"
"POL-00206","servicios","rural",4.2,0.54,1
"POL-00207","comercio","rural",1.7,0.94,1
"POL-00208","agro","urbana",6.8,0.83,2
"POL-00209","construccion","urbana",1.9,0.8,3
"POL-00210","servicios","urbana",2,0.66,1
"POL-00211","servicios","rural",8.8,0.91,4
"POL-00212","comercio","urbana",3.2,0.74,0
"POL-00213","comercio","urbana",0.6,0.93,0
"POL-00214","comercio","rural",0.8,0.85,0
"POL-00215","agro","urbana",1.8,0.74,2
"POL-00216","servicios","urbana",3.1,1,0
"POL-00217","comercio","suburbana",4.4,0.62,0
"POL-00218","comercio","urbana",6.1,0.73,0
"POL-00219","comercio","urbana",1.7,0.91,2
"POL-00220","manufactura","suburbana",0.7,0.58,1
"POL-00221","comercio","urbana",11.5,0.6,0
"POL-00222","servicios","suburbana",5.3,0.87,0
"POL-00223","comercio","suburbana",1.4,0.81,1
"POL-00224","servicios","suburbana",0.1,0.97,0
"POL-00225","manufactura","rural",2.9,0.83,1
"POL-00226","construccion","suburbana",0.6,0.9,0
"POL-00227","servicios","urbana",3.7,0.58,1
"POL-00228","comercio","urbana",1.5,0.6,0
"POL-00229","comercio","rural",3.2,0.57,1
"POL-00230","comercio","rural",8,0.58,1
"POL-00231","manufactura","urbana",3.3,0.6,0
"POL-00232","comercio","urbana",6.2,0.74,0
"POL-00233","manufactura","urbana",8.9,0.79,1
"POL-00234","manufactura","suburbana",6.6,0.52,1
"POL-00235","construccion","rural",1.9,0.76,0
"POL-00236","servicios","urbana",4.3,0.99,0
"POL-00237","agro","suburbana",7.3,0.73,3
"POL-00238","comercio","suburbana",13.8,0.6,0
"POL-00239","comercio","rural",6,0.72,0
"POL-00240","construccion","urbana",10.7,0.79,0
"POL-00241","agro","rural",0.5,0.56,1
"POL-00242","manufactura","urbana",1.2,0.59,0
"POL-00243","agro","urbana",1.6,0.59,0
"POL-00244","construccion","urbana",10.4,0.53,0
"POL-00245","servicios","urbana",2.4,0.53,0
"POL-00246","manufactura","urbana",1.9,0.81,0
"POL-00247","construccion","urbana",7.2,0.51,1
"POL-00248","manufactura","rural",3.2,0.85,1
"POL-00249","comercio","urbana",2.7,0.7,0
"POL-00250","comercio","rural",4.9,0.53,1
"POL-00251","servicios","suburbana",2.9,0.5,1
"POL-00252","manufactura","urbana",2.2,0.9,1
"POL-00253","comercio","urbana",2.2,0.65,6
"POL-00254","servicios","urbana",7.2,0.77,0
"POL-00255","manufactura","urbana",4.9,0.69,0
"POL-00256","comercio","suburbana",11,0.85,1
"POL-00257","servicios","urbana",5.5,0.84,0
"POL-00258","agro","urbana",6,0.61,2
"POL-00259","construccion","urbana",8,0.52,1
"POL-00260","servicios","urbana",6.9,0.91,3
"POL-00261","manufactura","urbana",1.3,0.6,0
"POL-00262","servicios","urbana",2.8,0.83,1
"POL-00263","agro","urbana",8.1,0.79,0
"POL-00264","comercio","suburbana",5.9,0.53,0
"POL-00265","servicios","rural",3,0.93,0
"POL-00266","comercio","rural",8.4,0.93,0
"POL-00267","manufactura","urbana",7.1,0.55,0
"POL-00268","servicios","rural",5.6,0.52,4
"POL-00269","servicios","urbana",0.7,0.79,1
"POL-00270","servicios","suburbana",9,0.52,0
"POL-00271","manufactura","urbana",8.1,0.59,1
"POL-00272","manufactura","urbana",6,0.58,2
"POL-00273","comercio","suburbana",1.9,0.79,2
"POL-00274","comercio","urbana",2.6,0.84,0
"POL-00275","servicios","rural",1.7,0.71,2
"POL-00276","servicios","urbana",1.9,0.8,0
"POL-00277","construccion","suburbana",3.4,0.66,0
"POL-00278","servicios","suburbana",4.1,0.73,0
"POL-00279","servicios","urbana",13.8,0.87,2
"POL-00280","comercio","rural",5.3,0.9,0
"POL-00281","servicios","urbana",2.4,0.56,0
"POL-00282","construccion","urbana",0.9,0.55,6
"POL-00283","servicios","urbana",13.7,0.6,1
"POL-00284","servicios","rural",0.2,0.65,0
"POL-00285","construccion","urbana",8.7,0.51,0
"POL-00286","manufactura","urbana",5.7,0.53,0
"POL-00287","comercio","suburbana",3.7,0.56,0
"POL-00288","comercio","rural",17.9,0.9,0
"POL-00289","construccion","rural",5.2,0.61,4
"POL-00290","construccion","rural",13.3,0.72,2
"POL-00291","comercio","rural",0.7,0.7,0
"POL-00292","construccion","urbana",9.5,0.62,1
"POL-00293","servicios","urbana",4.1,0.96,0
"POL-00294","construccion","suburbana",4.7,0.66,2
"POL-00295","construccion","suburbana",1.3,0.54,0
"POL-00296","servicios","urbana",2.2,0.88,3
"POL-00297","servicios","suburbana",6.2,0.58,0
"POL-00298","manufactura","suburbana",2.6,0.63,4
"POL-00299","comercio","rural",3.5,0.81,0
"POL-00300","manufactura","rural",6.7,0.84,3
"POL-00301","manufactura","suburbana",3,0.59,0
"POL-00302","manufactura","rural",2.3,0.63,1
"POL-00303","servicios","rural",4.1,0.75,0
"POL-00304","manufactura","suburbana",3,0.94,1
"POL-00305","construccion","urbana",17.6,0.98,2
"POL-00306","comercio","rural",3.3,0.58,2
"POL-00307","servicios","suburbana",4,0.72,0
"POL-00308","comercio","urbana",2.2,0.85,0
"POL-00309","servicios","urbana",10.4,0.92,0
"POL-00310","construccion","suburbana",3,0.95,0
"POL-00311","construccion","urbana",1.5,0.99,4
"POL-00312","servicios","urbana",4.1,0.55,1
"POL-00313","comercio","rural",3.9,0.86,1
"POL-00314","construccion","suburbana",7.7,0.87,1
"POL-00315","comercio","rural",3,0.64,1
"POL-00316","construccion","urbana",5.2,0.53,0
"POL-00317","manufactura","suburbana",5.3,0.54,0
"POL-00318","manufactura","rural",7.1,0.73,0
"POL-00319","servicios","suburbana",2.1,0.96,1
"POL-00320","servicios","urbana",7.6,0.62,3
"POL-00321","agro","urbana",4.9,0.55,1
"POL-00322","manufactura","suburbana",9.3,0.69,0
"POL-00323","comercio","suburbana",1.8,0.89,3
"POL-00324","agro","urbana",3.1,0.85,4
"POL-00325","comercio","urbana",8.9,0.55,3
"POL-00326","servicios","urbana",0.3,0.84,0
"POL-00327","construccion","suburbana",7.8,0.83,0
"POL-00328","servicios","rural",2,0.74,0
"POL-00329","manufactura","rural",1.7,1,2
"POL-00330","servicios","urbana",6.2,0.52,1
"POL-00331","manufactura","rural",4.2,0.73,2
"POL-00332","servicios","suburbana",2.9,0.81,3
"POL-00333","servicios","urbana",5.9,0.53,1
"POL-00334","construccion","urbana",9.5,0.79,0
"POL-00335","comercio","suburbana",15.3,0.86,1
"POL-00336","construccion","urbana",18.5,0.93,1
"POL-00337","comercio","urbana",6.6,0.65,1
"POL-00338","manufactura","urbana",1.5,0.61,0
"POL-00339","manufactura","urbana",6.8,0.6,0
"POL-00340","servicios","suburbana",4.9,0.64,1
"POL-00341","manufactura","suburbana",3.4,0.96,1
"POL-00342","manufactura","urbana",12.8,0.77,0
"POL-00343","comercio","urbana",4,0.54,1
"POL-00344","comercio","suburbana",6.6,0.53,3
"POL-00345","construccion","suburbana",3.3,0.76,0
"POL-00346","comercio","rural",3.3,0.86,1
"POL-00347","manufactura","suburbana",1.6,0.86,0
"POL-00348","manufactura","urbana",5.7,0.74,0
"POL-00349","manufactura","rural",1.7,0.83,1
"POL-00350","comercio","urbana",4.3,0.59,0
"POL-00351","servicios","rural",1.8,0.89,0
"POL-00352","agro","rural",6.6,0.58,0
"POL-00353","comercio","rural",7,0.78,1
"POL-00354","comercio","suburbana",9.4,0.79,2
"POL-00355","servicios","urbana",8.6,0.8,0
"POL-00356","construccion","urbana",3.9,0.97,0
"POL-00357","agro","rural",5.3,0.63,0
"POL-00358","comercio","urbana",3.5,0.55,1
"POL-00359","manufactura","urbana",4.4,0.93,3
"POL-00360","servicios","urbana",7.5,0.76,1
"POL-00361","comercio","urbana",7.4,0.59,1
"POL-00362","comercio","urbana",0.8,0.63,1
"POL-00363","agro","urbana",3.5,0.69,2
"POL-00364","comercio","suburbana",5,0.88,0
"POL-00365","servicios","suburbana",4,0.9,2
"POL-00366","comercio","suburbana",9,0.99,0
"POL-00367","construccion","suburbana",1.4,0.63,0
"POL-00368","agro","urbana",16.5,0.87,0
"POL-00369","servicios","rural",5.1,0.54,0
"POL-00370","agro","urbana",8.3,0.88,2
"POL-00371","servicios","rural",2.6,0.58,0
"POL-00372","servicios","urbana",1.1,0.87,2
"POL-00373","agro","suburbana",2.3,0.63,1
"POL-00374","manufactura","urbana",2.8,0.65,0
"POL-00375","servicios","urbana",5.9,0.77,0
"POL-00376","comercio","urbana",4.5,0.61,1
"POL-00377","servicios","suburbana",0.7,0.86,0
"POL-00378","comercio","urbana",4.3,0.97,2
"POL-00379","comercio","suburbana",1.5,0.63,2
"POL-00380","comercio","suburbana",4.3,0.55,0
"POL-00381","servicios","rural",3,0.85,1
"POL-00382","agro","rural",1.9,0.61,3
"POL-00383","manufactura","urbana",2.7,0.51,1
"POL-00384","manufactura","suburbana",1.8,0.74,1
"POL-00385","agro","urbana",3.1,0.91,0
"POL-00386","servicios","rural",4.6,0.99,2
"POL-00387","servicios","urbana",10.2,0.93,3
"POL-00388","comercio","urbana",4.4,0.98,4
"POL-00389","comercio","urbana",9.1,0.63,0
"POL-00390","manufactura","urbana",7.8,0.98,1
"POL-00391","agro","urbana",12.5,0.9,1
"POL-00392","construccion","suburbana",2.5,0.85,1
"POL-00393","manufactura","urbana",4.1,0.74,0
"POL-00394","comercio","urbana",3.5,0.59,1
"POL-00395","comercio","suburbana",4.1,0.87,0
"POL-00396","servicios","urbana",4.8,0.7,1
"POL-00397","comercio","urbana",5.7,0.92,0
"POL-00398","construccion","rural",9.6,0.6,1
"POL-00399","manufactura","urbana",2.2,0.95,3
"POL-00400","comercio","suburbana",5.6,0.82,1
"POL-00401","manufactura","urbana",0.1,0.52,0
"POL-00402","manufactura","suburbana",8.3,0.89,3
"POL-00403","servicios","urbana",5.3,0.74,1
"POL-00404","comercio","suburbana",2.4,0.55,0
"POL-00405","manufactura","urbana",4.9,0.85,2
"POL-00406","comercio","urbana",1.8,0.82,2
"POL-00407","comercio","urbana",4.7,0.62,1
"POL-00408","manufactura","rural",3.6,0.65,0
"POL-00409","manufactura","urbana",17.2,0.62,0
"POL-00410","servicios","suburbana",9.8,0.72,0
"POL-00411","agro","rural",1.6,0.72,0
"POL-00412","manufactura","urbana",1.9,0.55,1
"POL-00413","manufactura","suburbana",1.3,0.65,0
"POL-00414","servicios","urbana",1.4,0.93,0
"POL-00415","comercio","urbana",1.8,0.59,1
"POL-00416","comercio","urbana",4,0.69,2
"POL-00417","manufactura","urbana",16.4,0.7,1
"POL-00418","comercio","urbana",4.9,0.71,0
"POL-00419","agro","suburbana",3.5,0.55,3
"POL-00420","manufactura","rural",5.3,0.53,0
"POL-00421","comercio","suburbana",1.8,0.68,0
"POL-00422","comercio","urbana",1.9,0.62,3
"POL-00423","construccion","urbana",10.5,0.84,0
"POL-00424","manufactura","suburbana",4.5,0.67,1
"POL-00425","comercio","urbana",8.8,0.86,3
"POL-00426","comercio","suburbana",5.9,0.55,1
"POL-00427","manufactura","urbana",9.2,0.86,1
"POL-00428","manufactura","urbana",3.4,0.68,2
"POL-00429","manufactura","rural",1.9,0.96,0
"POL-00430","construccion","urbana",1.4,0.67,1
"POL-00431","construccion","suburbana",3.8,0.71,3
"POL-00432","manufactura","suburbana",8.4,0.52,0
"POL-00433","servicios","suburbana",12.4,0.61,0
"POL-00434","manufactura","suburbana",3.8,0.52,2
"POL-00435","construccion","suburbana",5.5,0.92,5
"POL-00436","manufactura","suburbana",1.3,0.72,9
"POL-00437","construccion","suburbana",5,0.8,4
"POL-00438","manufactura","suburbana",0.9,0.81,1
"POL-00439","agro","rural",3.5,0.78,3
"POL-00440","comercio","urbana",4.2,0.56,0
"POL-00441","manufactura","suburbana",5.4,0.96,0
"POL-00442","comercio","urbana",3.4,0.67,0
"POL-00443","comercio","urbana",5,0.72,7
"POL-00444","comercio","suburbana",19.6,0.52,0
"POL-00445","comercio","suburbana",4.2,0.57,1
"POL-00446","servicios","urbana",10.4,0.62,1
"POL-00447","comercio","urbana",1.3,0.92,1
"POL-00448","servicios","suburbana",7.3,0.78,1
"POL-00449","manufactura","suburbana",3.4,0.8,0
"POL-00450","comercio","urbana",1.4,0.77,1
"POL-00451","construccion","urbana",4.7,0.7,3
"POL-00452","manufactura","urbana",12.1,0.77,0
"POL-00453","comercio","rural",3.7,0.82,1
"POL-00454","servicios","suburbana",11.2,0.78,0
"POL-00455","comercio","urbana",5.9,0.95,4
"POL-00456","manufactura","rural",3.2,0.86,1
"POL-00457","servicios","suburbana",2.2,0.97,2
"POL-00458","servicios","urbana",3,0.81,0
"POL-00459","construccion","urbana",9.7,0.8,1
"POL-00460","construccion","urbana",3.8,0.55,4
"POL-00461","manufactura","rural",2,0.81,0
"POL-00462","construccion","urbana",7.4,0.51,0
"POL-00463","servicios","urbana",2,0.65,0
"POL-00464","comercio","urbana",0.7,0.89,1
"POL-00465","servicios","suburbana",6.9,0.78,0
"POL-00466","manufactura","urbana",1.6,0.85,0
"POL-00467","servicios","urbana",5.4,0.94,4
"POL-00468","comercio","suburbana",1.3,0.95,0
"POL-00469","comercio","urbana",10.8,0.79,1
"POL-00470","manufactura","suburbana",6.9,0.63,0
"POL-00471","construccion","suburbana",3.7,0.67,1
"POL-00472","manufactura","suburbana",8.3,0.83,1
"POL-00473","comercio","rural",4.9,0.94,0
"POL-00474","manufactura","urbana",5.3,0.72,2
"POL-00475","servicios","rural",12.3,0.82,0
"POL-00476","construccion","suburbana",0.4,0.58,0
"POL-00477","servicios","urbana",11.2,0.68,0
"POL-00478","comercio","urbana",1.2,0.78,1
"POL-00479","agro","suburbana",10.5,0.93,1
"POL-00480","construccion","urbana",13.4,1,5
"POL-00481","servicios","rural",3.6,0.96,1
"POL-00482","manufactura","suburbana",8.4,0.93,1
"POL-00483","manufactura","rural",1.8,0.81,0
"POL-00484","manufactura","urbana",5.6,0.85,2
"POL-00485","construccion","urbana",8.3,0.88,0
"POL-00486","construccion","rural",12.2,0.58,0
"POL-00487","construccion","urbana",2.8,0.88,4
"POL-00488","servicios","urbana",12.3,0.94,4
"POL-00489","manufactura","rural",8.6,0.86,1
"POL-00490","servicios","suburbana",3.9,0.84,0
"POL-00491","manufactura","suburbana",11.6,0.79,0
"POL-00492","servicios","urbana",1,0.68,0
"POL-00493","servicios","urbana",2.3,0.85,1
"POL-00494","servicios","urbana",5.8,0.77,0
"POL-00495","comercio","suburbana",10.3,0.54,1
"POL-00496","manufactura","urbana",3.1,0.59,0
"POL-00497","construccion","urbana",5.2,0.56,1
"POL-00498","construccion","rural",7,0.93,0
"POL-00499","comercio","rural",2.3,0.83,0
"POL-00500","agro","suburbana",0.8,0.94,3
"POL-00501","manufactura","suburbana",3.2,0.84,0
"POL-00502","servicios","urbana",2.6,0.83,0
"POL-00503","construccion","suburbana",7.4,0.53,1
"POL-00504","comercio","urbana",16.4,0.83,2
"POL-00505","manufactura","suburbana",3.5,0.83,1
"POL-00506","comercio","urbana",9.7,0.99,9
"POL-00507","manufactura","urbana",4.4,0.95,0
"POL-00508","servicios","suburbana",1,0.64,0
"POL-00509","agro","urbana",8.7,0.59,0
"POL-00510","servicios","urbana",2.6,0.8,1
"POL-00511","comercio","urbana",1.2,0.66,2
"POL-00512","manufactura","suburbana",4.4,0.59,2
"POL-00513","manufactura","urbana",1.4,0.87,4
"POL-00514","manufactura","urbana",1.9,0.79,1
"POL-00515","agro","suburbana",6.7,0.9,1
"POL-00516","manufactura","rural",7.7,0.55,0
"POL-00517","manufactura","urbana",0.9,0.73,0
"POL-00518","construccion","urbana",4.9,0.57,3
"POL-00519","comercio","rural",5.7,0.86,3
"POL-00520","servicios","suburbana",5.1,0.76,1
"POL-00521","servicios","rural",5.5,0.51,0
"POL-00522","agro","urbana",6.5,0.57,0
"POL-00523","servicios","urbana",8,0.59,4
"POL-00524","construccion","urbana",1.9,0.77,2
"POL-00525","comercio","suburbana",5.3,0.76,3
"POL-00526","servicios","urbana",12,0.9,1
"POL-00527","manufactura","rural",2.1,0.61,0
"POL-00528","comercio","rural",4.8,0.61,1
"POL-00529","manufactura","suburbana",15.2,0.94,1
"POL-00530","manufactura","rural",15.4,0.85,0
"POL-00531","comercio","suburbana",5.7,0.57,0
"POL-00532","comercio","urbana",5.2,0.6,0
"POL-00533","manufactura","suburbana",1.8,0.85,2
"POL-00534","comercio","urbana",2.2,0.62,3
"POL-00535","agro","rural",2,0.52,0
"POL-00536","comercio","urbana",2.5,0.76,1
"POL-00537","construccion","urbana",2.3,0.63,0
"POL-00538","manufactura","urbana",10.8,0.9,1
"POL-00539","comercio","suburbana",3.4,0.65,0
"POL-00540","comercio","urbana",5.2,0.73,1
"POL-00541","servicios","urbana",9.9,0.76,2
"POL-00542","construccion","urbana",5.6,0.74,4
"POL-00543","manufactura","urbana",14.5,0.72,2
"POL-00544","construccion","suburbana",2.2,0.98,5
"POL-00545","manufactura","urbana",0.8,0.96,2
"POL-00546","comercio","suburbana",1,0.74,0
"POL-00547","construccion","urbana",1.8,0.55,0
"POL-00548","comercio","urbana",8.1,0.75,0
"POL-00549","servicios","suburbana",10,0.95,0
"POL-00550","comercio","urbana",6,0.61,0
"POL-00551","construccion","urbana",2.5,0.91,1
"POL-00552","comercio","urbana",2.2,0.6,0
"POL-00553","servicios","urbana",5.6,0.94,2
"POL-00554","comercio","suburbana",7.3,0.67,0
"POL-00555","comercio","suburbana",8.8,0.98,1
"POL-00556","manufactura","urbana",9,0.86,0
