"sku","fecha","demanda","promocion","estacionalidad"
"SKU-002",2025-08-18,11,0,1.199
"SKU-002",2025-08-25,0,0,1.17
"SKU-002",2025-09-01,0,0,1.139
"SKU-002",2025-09-08,78,1,1.106
"SKU-002",2025-09-15,0,0,1.072
"SKU-002",2025-09-22,19,0,1.036
"SKU-002",2025-09-29,0,0,1
"SKU-002",2025-10-06,0,1,0.964
"SKU-002",2025-10-13,21,0,0.928
"SKU-002",2025-10-20,0,1,0.894
"SKU-002",2025-10-27,0,0,0.861
"SKU-002",2025-11-03,0,0,0.83
"SKU-002",2025-11-10,0,0,0.801
"SKU-002",2025-11-17,0,0,0.775
"SKU-002",2025-11-24,0,0,0.753
"SKU-002",2025-12-01,0,0,1.234
"SKU-002",2025-12-08,61,0,1.219
"SKU-002",2025-12-15,0,0,1.209
"SKU-002",2025-12-22,0,0,1.202
"SKU-002",2025-12-29,0,0,1.2
"SKU-003",2025-01-06,0,0,0.702
"SKU-003",2025-01-13,0,0,0.709
"SKU-003",2025-01-20,6,0,0.719
"SKU-003",2025-01-27,0,0,0.734
"SKU-003",2025-02-03,0,0,0.753
"SKU-003",2025-02-10,3,0,0.775
"SKU-003",2025-02-17,0,0,0.801
"SKU-003",2025-02-24,28,0,0.83
"SKU-003",2025-03-03,10,0,0.861
"SKU-003",2025-03-10,0,0,0.894
"SKU-003",2025-03-17,13,0,0.928
"SKU-003",2025-03-24,15,0,0.964
"SKU-003",2025-03-31,0,0,1
"SKU-003",2025-04-07,0,0,1.036
"SKU-003",2025-04-14,0,0,1.072
"SKU-003",2025-04-21,27,0,1.106
"SKU-003",2025-04-28,17,0,1.139
"SKU-003",2025-05-05,0,0,1.17
"SKU-003",2025-05-12,10,0,1.199
"SKU-003",2025-05-19,0,1,1.225
"SKU-003",2025-05-26,0,0,1.247
"SKU-003",2025-06-02,13,0,1.266
"SKU-003",2025-06-09,16,0,1.281
"SKU-003",2025-06-16,0,0,1.291
"SKU-003",2025-06-23,110,1,1.298
"SKU-003",2025-06-30,0,0,1.3
"SKU-003",2025-07-07,0,0,1.298
"SKU-003",2025-07-14,0,0,1.291
"SKU-003",2025-07-21,137,0,1.281
"SKU-003",2025-07-28,0,0,1.266
"SKU-003",2025-08-04,7,1,1.247
"SKU-003",2025-08-11,28,0,1.225
"SKU-003",2025-08-18,0,0,1.199
"SKU-003",2025-08-25,4,0,1.17
"SKU-003",2025-09-01,0,0,1.139
"SKU-003",2025-09-08,90,1,1.106
"SKU-003",2025-09-15,0,0,1.072
"SKU-003",2025-09-22,0,1,1.036
"SKU-003",2025-09-29,0,0,1
"SKU-003",2025-10-06,0,0,0.964
"SKU-003",2025-10-13,0,1,0.928
"SKU-003",2025-10-20,37,0,0.894
"SKU-003",2025-10-27,22,0,0.861
"SKU-003",2025-11-03,0,0,0.83
"SKU-003",2025-11-10,8,0,0.801
"SKU-003",2025-11-17,0,0,0.775
"SKU-003",2025-11-24,2,0,0.753
"SKU-003",2025-12-01,0,0,1.234
"SKU-003",2025-12-08,0,0,1.219
"SKU-003",2025-12-15,0,1,1.209
"SKU-003",2025-12-22,117,0,1.202
"SKU-003",2025-12-29,0,0,1.2
"SKU-004",2025-01-06,5,0,0.702
"SKU-004",2025-01-13,0,0,0.709
"SKU-004",2025-01-20,0,0,0.719
"SKU-004",2025-01-27,0,0,0.734
"SKU-004",2025-02-03,0,0,0.753
"SKU-004",2025-02-10,31,0,0.775
"SKU-004",2025-02-17,0,0,0.801
"SKU-004",2025-02-24,35,0,0.83
"SKU-004",2025-03-03,0,0,0.861
"SKU-004",2025-03-10,7,0,0.894
"SKU-004",2025-03-17,57,0,0.928
"SKU-004",2025-03-24,31,0,0.964
"SKU-004",2025-03-31,0,0,1
"SKU-004",2025-04-07,0,0,1.036
"SKU-004",2025-04-14,30,1,1.072
"SKU-004",2025-04-21,0,0,1.106
"SKU-004",2025-04-28,0,0,1.139
"SKU-004",2025-05-05,17,0,1.17
"SKU-004",2025-05-12,5,0,1.199
"SKU-004",2025-05-19,73,0,1.225
"SKU-004",2025-05-26,0,0,1.247
"SKU-004",2025-06-02,0,0,1.266
"SKU-004",2025-06-09,0,0,1.281
"SKU-004",2025-06-16,0,1,1.291
"SKU-004",2025-06-23,9,0,1.298
"SKU-004",2025-06-30,38,0,1.3
"SKU-004",2025-07-07,0,0,1.298
"SKU-004",2025-07-14,0,0,1.291
"SKU-004",2025-07-21,0,0,1.281
"SKU-004",2025-07-28,33,1,1.266
"SKU-004",2025-08-04,5,0,1.247
"SKU-004",2025-08-11,0,0,1.225
"SKU-004",2025-08-18,0,0,1.199
"SKU-004",2025-08-25,0,0,1.17
"SKU-004",2025-09-01,0,0,1.139
"SKU-004",2025-09-08,0,0,1.106
"SKU-004",2025-09-15,0,1,1.072
"SKU-004",2025-09-22,0,0,1.036
"SKU-004",2025-09-29,7,0,1
"SKU-004",2025-10-06,0,0,0.964
"SKU-004",2025-10-13,46,0,0.928
"SKU-004",2025-10-20,0,0,0.894
"SKU-004",2025-10-27,21,0,0.861
"SKU-004",2025-11-03,0,0,0.83
"SKU-004",2025-11-10,0,0,0.801
"SKU-004",2025-11-17,0,0,0.775
"SKU-004",2025-11-24,0,0,0.753
"SKU-004",2025-12-01,3,0,1.234
"SKU-004",2025-12-08,33,0,1.219
"SKU-004",2025-12-15,165,1,1.209
"SKU-004",2025-12-22,104,0,1.202
"SKU-004",2025-12-29,0,0,1.2
"SKU-005",2025-01-06,12,0,0.702
"SKU-005",2025-01-13,0,0,0.709
"SKU-005",2025-01-20,17,0,0.719
"SKU-005",2025-01-27,0,0,0.734
"SKU-005",2025-02-03,21,1,0.753
"SKU-005",2025-02-10,0,0,0.775
"SKU-005",2025-02-17,0,0,0.801
"SKU-005",2025-02-24,4,0,0.83
"SKU-005",2025-03-03,0,0,0.861
"SKU-005",2025-03-10,22,1,0.894
"SKU-005",2025-03-17,14,1,0.928
"SKU-005",2025-03-24,0,0,0.964
"SKU-005",2025-03-31,5,0,1
"SKU-005",2025-04-07,6,0,1.036
"SKU-005",2025-04-14,0,0,1.072
"SKU-005",2025-04-21,0,0,1.106
"SKU-005",2025-04-28,0,0,1.139
"SKU-005",2025-05-05,12,0,1.17
"SKU-005",2025-05-12,0,0,1.199
"SKU-005",2025-05-19,5,0,1.225
"SKU-005",2025-05-26,24,0,1.247
"SKU-005",2025-06-02,4,0,1.266
"SKU-005",2025-06-09,0,0,1.281
"SKU-005",2025-06-16,0,1,1.291
"SKU-005",2025-06-23,17,0,1.298
"SKU-005",2025-06-30,0,0,1.3
"SKU-005",2025-07-07,14,0,1.298
"SKU-005",2025-07-14,0,0,1.291
"SKU-005",2025-07-21,0,0,1.281
"SKU-005",2025-07-28,45,0,1.266
"SKU-005",2025-08-04,0,0,1.247
"SKU-005",2025-08-11,9,1,1.225
"SKU-005",2025-08-18,0,0,1.199
"SKU-005",2025-08-25,11,0,1.17
"SKU-005",2025-09-01,19,0,1.139
"SKU-005",2025-09-08,0,0,1.106
"SKU-005",2025-09-15,12,0,1.072
"SKU-005",2025-09-22,5,0,1.036
"SKU-005",2025-09-29,0,0,1
"SKU-005",2025-10-06,4,0,0.964
"SKU-005",2025-10-13,0,0,0.928
"SKU-005",2025-10-20,0,1,0.894
"SKU-005",2025-10-27,8,0,0.861
"SKU-005",2025-11-03,23,1,0.83
"SKU-005",2025-11-10,0,0,0.801
"SKU-005",2025-11-17,17,0,0.775
"SKU-005",2025-11-24,1,0,0.753
"SKU-005",2025-12-01,0,0,1.234
"SKU-005",2025-12-08,9,0,1.219
"SKU-005",2025-12-15,4,0,1.209
"SKU-005",2025-12-22,7,0,1.202
"SKU-005",2025-12-29,0,0,1.2
"SKU-006",2025-01-06,18,0,0.702
"SKU-006",2025-01-13,0,0,0.709
"SKU-006",2025-01-20,0,0,0.719
"SKU-006",2025-01-27,0,0,0.734
"SKU-006",2025-02-03,0,1,0.753
"SKU-006",2025-02-10,0,0,0.775
"SKU-006",2025-02-17,0,1,0.801
"SKU-006",2025-02-24,0,0,0.83
"SKU-006",2025-03-03,0,0,0.861
"SKU-006",2025-03-10,0,0,0.894
"SKU-006",2025-03-17,0,0,0.928
"SKU-006",2025-03-24,0,1,0.964
"SKU-006",2025-03-31,0,0,1
"SKU-006",2025-04-07,0,1,1.036
"SKU-006",2025-04-14,81,0,1.072
"SKU-006",2025-04-21,3,0,1.106
"SKU-006",2025-04-28,20,0,1.139
"SKU-006",2025-05-05,0,0,1.17
"SKU-006",2025-05-12,0,0,1.199
"SKU-006",2025-05-19,0,0,1.225
"SKU-006",2025-05-26,0,0,1.247
"SKU-006",2025-06-02,11,0,1.266
"SKU-006",2025-06-09,11,0,1.281
"SKU-006",2025-06-16,0,0,1.291
"SKU-006",2025-06-23,5,1,1.298
"SKU-006",2025-06-30,0,0,1.3
"SKU-006",2025-07-07,0,0,1.298
"SKU-006",2025-07-14,0,0,1.291
"SKU-006",2025-07-21,0,0,1.281
"SKU-006",2025-07-28,0,0,1.266
"SKU-006",2025-08-04,18,0,1.247
"SKU-006",2025-08-11,0,0,1.225
"SKU-006",2025-08-18,0,0,1.199
"SKU-006",2025-08-25,0,0,1.17
"SKU-006",2025-09-01,0,1,1.139
"SKU-006",2025-09-08,17,0,1.106
"SKU-006",2025-09-15,0,0,1.072
"SKU-006",2025-09-22,0,0,1.036
"SKU-006",2025-09-29,0,0,1
"SKU-006",2025-10-06,26,0,0.964
"SKU-006",2025-10-13,0,0,0.928
"SKU-006",2025-10-20,0,0,0.894
"SKU-006",2025-10-27,0,0,0.861
"SKU-006",2025-11-03,546,1,0.83
"SKU-006",2025-11-10,0,0,0.801
"SKU-006",2025-11-17,0,0,0.775
"SKU-006",2025-11-24,0,0,0.753
"SKU-006",2025-12-01,0,0,1.234
"SKU-006",2025-12-08,0,0,1.219
"SKU-006",2025-12-15,0,0,1.209
"SKU-006",2025-12-22,0,0,1.202
"SKU-006",2025-12-29,0,0,1.2
"SKU-007",2025-01-06,294,0,0.702
"SKU-007",2025-01-13,33,0,0.709
"SKU-007",2025-01-20,86,0,0.719
"SKU-007",2025-01-27,30,0,0.734
"SKU-007",2025-02-03,29,1,0.753
"SKU-007",2025-02-10,0,1,0.775
"SKU-007",2025-02-17,152,1,0.801
"SKU-007",2025-02-24,1036,0,0.83
"SKU-007",2025-03-03,59,0,0.861
"SKU-007",2025-03-10,171,0,0.894
"SKU-007",2025-03-17,32,0,0.928
"SKU-007",2025-03-24,312,1,0.964
"SKU-007",2025-03-31,91,0,1
"SKU-007",2025-04-07,0,0,1.036
"SKU-007",2025-04-14,39,0,1.072
"SKU-007",2025-04-21,148,0,1.106
"SKU-007",2025-04-28,20,0,1.139
"SKU-007",2025-05-05,40,0,1.17
"SKU-007",2025-05-12,0,0,1.199
"SKU-007",2025-05-19,72,0,1.225
"SKU-007",2025-05-26,31,0,1.247
"SKU-007",2025-06-02,0,0,1.266
"SKU-007",2025-06-09,75,1,1.281
"SKU-007",2025-06-16,57,0,1.291
"SKU-007",2025-06-23,0,0,1.298
"SKU-007",2025-06-30,468,1,1.3
"SKU-007",2025-07-07,157,0,1.298
"SKU-007",2025-07-14,3,0,1.291
"SKU-007",2025-07-21,0,0,1.281
"SKU-007",2025-07-28,79,0,1.266
"SKU-007",2025-08-04,439,0,1.247
"SKU-007",2025-08-11,43,0,1.225
"SKU-007",2025-08-18,429,0,1.199
"SKU-007",2025-08-25,405,0,1.17
"SKU-007",2025-09-01,45,0,1.139
"SKU-007",2025-09-08,143,0,1.106
"SKU-007",2025-09-15,0,1,1.072
"SKU-007",2025-09-22,0,0,1.036
"SKU-007",2025-09-29,339,1,1
"SKU-007",2025-10-06,140,0,0.964
"SKU-007",2025-10-13,0,0,0.928
"SKU-007",2025-10-20,284,1,0.894
"SKU-007",2025-10-27,35,0,0.861
"SKU-007",2025-11-03,38,0,0.83
"SKU-007",2025-11-10,0,0,0.801
"SKU-007",2025-11-17,0,0,0.775
"SKU-007",2025-11-24,69,0,0.753
"SKU-007",2025-12-01,38,0,1.234
"SKU-007",2025-12-08,72,1,1.219
"SKU-007",2025-12-15,0,0,1.209
"SKU-007",2025-12-22,32,0,1.202
"SKU-007",2025-12-29,114,0,1.2
"SKU-008",2025-01-06,0,0,0.702
"SKU-008",2025-01-13,5,0,0.709
"SKU-008",2025-01-20,5,0,0.719
"SKU-008",2025-01-27,0,0,0.734
"SKU-008",2025-02-03,0,0,0.753
"SKU-008",2025-02-10,13,0,0.775
"SKU-008",2025-02-17,0,0,0.801
"SKU-008",2025-02-24,0,0,0.83
"SKU-008",2025-03-03,7,0,0.861
"SKU-008",2025-03-10,0,0,0.894
"SKU-008",2025-03-17,3,0,0.928
"SKU-008",2025-03-24,3,0,0.964
"SKU-008",2025-03-31,8,0,1
"SKU-008",2025-04-07,8,0,1.036
"SKU-008",2025-04-14,0,0,1.072
"SKU-008",2025-04-21,0,0,1.106
"SKU-008",2025-04-28,0,0,1.139
"SKU-008",2025-05-05,0,0,1.17
"SKU-008",2025-05-12,6,0,1.199
"SKU-008",2025-05-19,0,1,1.225
"SKU-008",2025-05-26,9,0,1.247
"SKU-008",2025-06-02,5,0,1.266
"SKU-008",2025-06-09,0,0,1.281
"SKU-008",2025-06-16,17,0,1.291
"SKU-008",2025-06-23,6,0,1.298
"SKU-008",2025-06-30,9,0,1.3
"SKU-008",2025-07-07,9,0,1.298
"SKU-008",2025-07-14,0,1,1.291
"SKU-008",2025-07-21,0,0,1.281
"SKU-008",2025-07-28,0,0,1.266
"SKU-008",2025-08-04,6,0,1.247
"SKU-008",2025-08-11,0,0,1.225
"SKU-008",2025-08-18,0,0,1.199
"SKU-008",2025-08-25,18,0,1.17
"SKU-008",2025-09-01,5,0,1.139
"SKU-008",2025-09-08,12,0,1.106
"SKU-008",2025-09-15,0,0,1.072
"SKU-008",2025-09-22,22,0,1.036
"SKU-008",2025-09-29,22,0,1
"SKU-008",2025-10-06,11,0,0.964
"SKU-008",2025-10-13,12,0,0.928
"SKU-008",2025-10-20,0,0,0.894
"SKU-008",2025-10-27,6,1,0.861
"SKU-008",2025-11-03,0,0,0.83
"SKU-008",2025-11-10,0,0,0.801
"SKU-008",2025-11-17,0,0,0.775
"SKU-008",2025-11-24,4,0,0.753
"SKU-008",2025-12-01,0,1,1.234
"SKU-008",2025-12-08,9,0,1.219
"SKU-008",2025-12-15,0,0,1.209
"SKU-008",2025-12-22,0,0,1.202
"SKU-008",2025-12-29,7,0,1.2
"SKU-009",2025-01-06,8,0,0.702
"SKU-009",2025-01-13,9,0,0.709
"SKU-009",2025-01-20,11,0,0.719
"SKU-009",2025-01-27,11,0,0.734
"SKU-009",2025-02-03,36,0,0.753
"SKU-009",2025-02-10,73,0,0.775
"SKU-009",2025-02-17,8,0,0.801
"SKU-009",2025-02-24,7,0,0.83
"SKU-009",2025-03-03,12,0,0.861
"SKU-009",2025-03-10,9,0,0.894
"SKU-009",2025-03-17,30,0,0.928
"SKU-009",2025-03-24,319,1,0.964
"SKU-009",2025-03-31,10,0,1
"SKU-009",2025-04-07,67,0,1.036
"SKU-009",2025-04-14,46,0,1.072
"SKU-009",2025-04-21,144,0,1.106
"SKU-009",2025-04-28,6,0,1.139
"SKU-009",2025-05-05,39,0,1.17
"SKU-009",2025-05-12,73,0,1.199
"SKU-009",2025-05-19,0,0,1.225
"SKU-009",2025-05-26,0,0,1.247
"SKU-009",2025-06-02,0,0,1.266
"SKU-009",2025-06-09,0,0,1.281
"SKU-009",2025-06-16,37,0,1.291
"SKU-009",2025-06-23,0,0,1.298
"SKU-009",2025-06-30,29,0,1.3
"SKU-009",2025-07-07,89,1,1.298
"SKU-009",2025-07-14,19,0,1.291
"SKU-009",2025-07-21,0,0,1.281
"SKU-009",2025-07-28,56,0,1.266
"SKU-009",2025-08-04,8,1,1.247
"SKU-009",2025-08-11,7,0,1.225
"SKU-009",2025-08-18,44,0,1.199
"SKU-009",2025-08-25,21,0,1.17
"SKU-009",2025-09-01,29,0,1.139
"SKU-009",2025-09-08,58,0,1.106
"SKU-009",2025-09-15,341,0,1.072
"SKU-009",2025-09-22,15,0,1.036
"SKU-009",2025-09-29,0,0,1
"SKU-009",2025-10-06,0,0,0.964
"SKU-009",2025-10-13,0,0,0.928
"SKU-009",2025-10-20,13,0,0.894
"SKU-009",2025-10-27,46,0,0.861
"SKU-009",2025-11-03,0,0,0.83
"SKU-009",2025-11-10,4,0,0.801
"SKU-009",2025-11-17,81,0,0.775
"SKU-009",2025-11-24,27,0,0.753
"SKU-009",2025-12-01,308,0,1.234
"SKU-009",2025-12-08,66,0,1.219
"SKU-009",2025-12-15,0,0,1.209
"SKU-009",2025-12-22,192,0,1.202
"SKU-009",2025-12-29,111,0,1.2
"SKU-010",2025-01-06,0,0,0.702
"SKU-010",2025-01-13,0,0,0.709
"SKU-010",2025-01-20,0,0,0.719
"SKU-010",2025-01-27,0,0,0.734
"SKU-010",2025-02-03,0,0,0.753
"SKU-010",2025-02-10,0,0,0.775
"SKU-010",2025-02-17,0,0,0.801
"SKU-010",2025-02-24,17,0,0.83
"SKU-010",2025-03-03,0,0,0.861
"SKU-010",2025-03-10,0,0,0.894
"SKU-010",2025-03-17,0,0,0.928
"SKU-010",2025-03-24,0,0,0.964
"SKU-010",2025-03-31,80,1,1
"SKU-010",2025-04-07,0,0,1.036
"SKU-010",2025-04-14,0,0,1.072
"SKU-010",2025-04-21,0,0,1.106
"SKU-010",2025-04-28,0,0,1.139
"SKU-010",2025-05-05,0,0,1.17
"SKU-010",2025-05-12,0,0,1.199
"SKU-010",2025-05-19,0,0,1.225
"SKU-010",2025-05-26,16,0,1.247
"SKU-010",2025-06-02,0,0,1.266
"SKU-010",2025-06-09,49,0,1.281
"SKU-010",2025-06-16,27,0,1.291
"SKU-010",2025-06-23,0,1,1.298
"SKU-010",2025-06-30,0,0,1.3
"SKU-010",2025-07-07,9,0,1.298
"SKU-010",2025-07-14,27,0,1.291
"SKU-010",2025-07-21,11,0,1.281
"SKU-010",2025-07-28,0,0,1.266
"SKU-010",2025-08-04,0,0,1.247
"SKU-010",2025-08-11,6,0,1.225
"SKU-010",2025-08-18,73,0,1.199
"SKU-010",2025-08-25,0,0,1.17
"SKU-010",2025-09-01,0,0,1.139
"SKU-010",2025-09-08,0,0,1.106
"SKU-010",2025-09-15,178,1,1.072
"SKU-010",2025-09-22,0,0,1.036
"SKU-010",2025-09-29,0,0,1
"SKU-010",2025-10-06,12,1,0.964
"SKU-010",2025-10-13,5,0,0.928
"SKU-010",2025-10-20,0,0,0.894
"SKU-010",2025-10-27,0,0,0.861
"SKU-010",2025-11-03,18,0,0.83
"SKU-010",2025-11-10,42,0,0.801
"SKU-010",2025-11-17,0,0,0.775
"SKU-010",2025-11-24,22,0,0.753
"SKU-010",2025-12-01,0,0,1.234
"SKU-010",2025-12-08,0,0,1.219
"SKU-010",2025-12-15,12,0,1.209
"SKU-010",2025-12-22,0,0,1.202
"SKU-010",2025-12-29,0,0,1.2
"SKU-011",2025-01-06,4,1,0.702
"SKU-011",2025-01-13,0,1,0.709
"SKU-011",2025-01-20,7,0,0.719
"SKU-011",2025-01-27,0,0,0.734
"SKU-011",2025-02-03,22,0,0.753
"SKU-011",2025-02-10,5,0,0.775
"SKU-011",2025-02-17,13,1,0.801
"SKU-011",2025-02-24,0,0,0.83
"SKU-011",2025-03-03,0,0,0.861
"SKU-011",2025-03-10,0,0,0.894
"SKU-011",2025-03-17,30,1,0.928
"SKU-011",2025-03-24,0,1,0.964
"SKU-011",2025-03-31,0,0,1
"SKU-011",2025-04-07,0,1,1.036
"SKU-011",2025-04-14,0,0,1.072
"SKU-011",2025-04-21,0,0,1.106
"SKU-011",2025-04-28,0,0,1.139
"SKU-011",2025-05-05,0,0,1.17
"SKU-011",2025-05-12,25,0,1.199
"SKU-011",2025-05-19,34,1,1.225
"SKU-011",2025-05-26,10,0,1.247
"SKU-011",2025-06-02,0,0,1.266
"SKU-011",2025-06-09,0,1,1.281
"SKU-011",2025-06-16,0,0,1.291
"SKU-011",2025-06-23,0,0,1.298
"SKU-011",2025-06-30,0,0,1.3
"SKU-011",2025-07-07,0,0,1.298
"SKU-011",2025-07-14,0,0,1.291
"SKU-011",2025-07-21,1,0,1.281
"SKU-011",2025-07-28,20,0,1.266
"SKU-011",2025-08-04,0,0,1.247
"SKU-011",2025-08-11,0,0,1.225
"SKU-011",2025-08-18,0,0,1.199
"SKU-011",2025-08-25,0,0,1.17
"SKU-011",2025-09-01,39,0,1.139
"SKU-011",2025-09-08,0,0,1.106
"SKU-011",2025-09-15,6,0,1.072
"SKU-011",2025-09-22,0,0,1.036
"SKU-011",2025-09-29,0,0,1
"SKU-011",2025-10-06,0,0,0.964
"SKU-011",2025-10-13,0,1,0.928
"SKU-011",2025-10-20,0,1,0.894
"SKU-011",2025-10-27,0,0,0.861
"SKU-011",2025-11-03,0,0,0.83
"SKU-011",2025-11-10,0,1,0.801
"SKU-011",2025-11-17,0,0,0.775
"SKU-011",2025-11-24,0,0,0.753
"SKU-011",2025-12-01,12,0,1.234
"SKU-011",2025-12-08,37,0,1.219
"SKU-011",2025-12-15,43,0,1.209
"SKU-011",2025-12-22,32,0,1.202
"SKU-011",2025-12-29,0,0,1.2
"SKU-012",2025-01-06,0,0,0.702
"SKU-012",2025-01-13,15,0,0.709
"SKU-012",2025-01-20,645,0,0.719
"SKU-012",2025-01-27,59,0,0.734
"SKU-012",2025-02-03,580,1,0.753
"SKU-012",2025-02-10,65,0,0.775
"SKU-012",2025-02-17,421,0,0.801
"SKU-012",2025-02-24,91,0,0.83
"SKU-012",2025-03-03,21,0,0.861
"SKU-012",2025-03-10,65,0,0.894
"SKU-012",2025-03-17,111,0,0.928
"SKU-012",2025-03-24,0,0,0.964
"SKU-012",2025-03-31,487,0,1
"SKU-012",2025-04-07,63,0,1.036
"SKU-012",2025-04-14,599,0,1.072
"SKU-012",2025-04-21,166,0,1.106
"SKU-012",2025-04-28,0,1,1.139
"SKU-012",2025-05-05,0,0,1.17
"SKU-012",2025-05-12,89,0,1.199
"SKU-012",2025-05-19,0,0,1.225
"SKU-012",2025-05-26,0,0,1.247
"SKU-012",2025-06-02,40,0,1.266
"SKU-012",2025-06-09,154,0,1.281
"SKU-012",2025-06-16,0,0,1.291
"SKU-012",2025-06-23,827,0,1.298
"SKU-012",2025-06-30,0,0,1.3
"SKU-012",2025-07-07,90,0,1.298
"SKU-012",2025-07-14,350,1,1.291
"SKU-012",2025-07-21,118,0,1.281
"SKU-012",2025-07-28,119,0,1.266
"SKU-012",2025-08-04,588,0,1.247
"SKU-012",2025-08-11,0,0,1.225
"SKU-012",2025-08-18,697,0,1.199
"SKU-012",2025-08-25,109,0,1.17
"SKU-012",2025-09-01,63,0,1.139
"SKU-012",2025-09-08,72,0,1.106
"SKU-012",2025-09-15,164,0,1.072
"SKU-012",2025-09-22,0,0,1.036
"SKU-012",2025-09-29,801,1,1
"SKU-012",2025-10-06,23,0,0.964
"SKU-012",2025-10-13,156,0,0.928
"SKU-012",2025-10-20,0,0,0.894
"SKU-012",2025-10-27,0,0,0.861
"SKU-012",2025-11-03,11,0,0.83
"SKU-012",2025-11-10,179,0,0.801
"SKU-012",2025-11-17,116,0,0.775
"SKU-012",2025-11-24,351,1,0.753
"SKU-012",2025-12-01,3190,0,1.234
"SKU-012",2025-12-08,67,0,1.219
"SKU-012",2025-12-15,69,0,1.209
"SKU-012",2025-12-22,0,0,1.202
"SKU-012",2025-12-29,38,0,1.2
"SKU-013",2025-01-06,0,0,0.702
"SKU-013",2025-01-13,0,0,0.709
"SKU-013",2025-01-20,0,0,0.719
"SKU-013",2025-01-27,0,0,0.734
"SKU-013",2025-02-03,15,0,0.753
"SKU-013",2025-02-10,0,0,0.775
"SKU-013",2025-02-17,0,0,0.801
"SKU-013",2025-02-24,0,0,0.83
"SKU-013",2025-03-03,0,0,0.861
"SKU-013",2025-03-10,0,1,0.894
"SKU-013",2025-03-17,0,0,0.928
"SKU-013",2025-03-24,0,1,0.964
